"time","inertia.w","inertia.a","sine.y"
4.576,0.07512403642167885,-0.1148949651553714,-0.4595798606214857
4.578,0.07489144619583123,-0.1176759830413332,-0.4707039321653329
4.58,0.07465331087147135,-0.1204384185254287,-0.4817536741017149
4.582,0.07440966789353454,-0.1231818353870726,-0.4927273415482905
4.584,0.07416055559512173,-0.1259058004089398,-0.5036232016357591
4.586,0.07390601319477536,-0.1286098834453768,-0.5144395337815071
4.588,0.07364608079375561,-0.1312936574903239,-0.5251746299612957
4.59,0.07338079937331567,-0.133956698744749,-0.535826794978996
4.592,0.07311021079197819,-0.1365985866835662,-0.5463943467342648
4.594,0.07283435778281085,-0.1392189041220473,-0.5568756164881891
4.596,0.07255328395070286,-0.1418172372816892,-0.5672689491267568
4.598,0.07226703376964007,-0.1443931758555668,-0.5775727034222673
4.6,0.07197565257998145,-0.1469463130731173,-0.5877852522924694
4.602,0.07167918658573466,-0.14947624576438,-0.5979049830575202
4.604,0.0713776828518327,-0.1519825744236515,-0.607930297694606
4.606,0.07107118930140867,-0.1544649032725829,-0.6178596130903317
4.608,0.07075975010849765,-0.1569228403226743,-0.6276913612906971
4.61,0.07044341558008707,-0.1593559974371728,-0.6374239897486913
4.612,0.07012223801170162,-0.1617639903923606,-0.6470559615694426
4.614,0.06979626846398972,-0.1641464389382385,-0.6565857557529542
4.616,0.06946555882384388,-0.1665029668585622,-0.6660118674342488
4.618,0.06913016180113371,-0.1688332020302566,-0.6753328081210263
4.62,0.06879013092544015,-0.1711367764821718,-0.6845471059286873
4.622,0.06844552054278825,-0.1734133264532008,-0.693653305812803
4.624,0.06809638581238112,-0.1756624924497117,-0.7026499697988468
4.626,0.06774278270333334,-0.1778839193023212,-0.7115356772092849
4.628,0.067384767991405,-0.1800772562219765,-0.7203090248879059
4.63,0.06702239925573454,-0.1822421568553525,-0.72896862742141
4.632,0.06665573487557266,-0.184378279339543,-0.7375131173581719
4.634,0.06628483402701574,-0.1864852863560455,-0.745941145424182
4.636,0.06590975667973997,-0.1885628451840258,-0.7542513807361032
4.638,0.06553055997412538,-0.1906106277528617,-0.7624425110114467
4.64,0.06514726521707724,-0.1926283106939469,-0.7705132427757876
4.642,0.06475996602367844,-0.1946155753917559,-0.7784623015670236
4.644,0.0643687238590389,-0.1965721080341546,-0.7862884321366186
4.646,0.06397360085039965,-0.1984975996619586,-0.7939903986478345
4.648,0.06357465978040318,-0.2003917462177188,-0.8015669848708753
4.65,0.06317196408036324,-0.2022542485937369,-0.8090169943749478
4.652,0.06276557782353519,-0.204084812679296,-0.8163392507171838
4.654,0.06235556571838484,-0.2058831494071067,-0.8235325976284269
4.656,0.06194199310185913,-0.2076489747989529,-0.8305958991958117
4.658,0.06152492593265547,-0.2093820100105356,-0.8375280400421423
4.66,0.06110443078449251,-0.2110819813755038,-0.8443279255020152
4.662,0.06068057483937876,-0.2127486204486729,-0.8509944817946916
4.664,0.06025342588088323,-0.2143816640484129,-0.8575266561936516
4.666,0.05982305228740498,-0.215980854298209,-0.8639234171928361
4.668,0.05938952302544365,-0.2175459386673815,-0.870183754669526
4.67,0.05895288975965803,-0.2190766700109659,-0.8763066800438636
4.672,0.05851321640216448,-0.2205728066087378,-0.8822912264349512
4.674,0.05807058716173093,-0.2220341122033863,-0.8881364488135454
4.676,0.05762507193860233,-0.2234603560378161,-0.8938414241512643
